"Company Name",Website,"Job Title","Job URL"
"GXO Logistics, Inc",https://gxo.com/,"Supervisor, Safety - 1st Shift",https://jobs.gxo.com/job/Monroe-Supervisor%2C-Safety-1st-Shift-NJ-08831/1190315300/
"GXO Logistics, Inc",https://gxo.com/,"EHS Supervisor - 1st Shift",https://jobs.gxo.com/job/The-Dalles-EHS-Supervisor-1st-Shift-OR-97058/1157771500/
"GXO Logistics, Inc",https://gxo.com/,"Sales Development Representative (Remote)",https://jobs.gxo.com/job/High-Point-Sales-Development-Representative-%28Remote%29-NC-27235/1190709600/
"GXO Logistics, Inc",https://gxo.com/,"Inventory Controller",https://jobs.gxo.com/job/Wellingborough-Inventory-Controller/1201928600/
"GXO Logistics, Inc",https://gxo.com/,"Lead - 1st Shift",https://jobs.gxo.com/job/The-Dalles-Lead-1st-Shift-OR-97058/1202017100/
"GXO Logistics, Inc",https://gxo.com/,"Lead - 1st Shift",https://jobs.gxo.com/job/Statesville-Lead-1st-Shift-NC-28625/1201986000/
"GXO Logistics, Inc",https://gxo.com/,"Warehouse Administrator",https://jobs.gxo.com/job/Sherburn-In-Elmet-Warehouse-Administrator/1202004600/
"GXO Logistics, Inc",https://gxo.com/,"Clerk - 1st Shift",https://jobs.gxo.com/job/Menomonee-Falls-Clerk-1st-Shift-WI-53007/1201871100/
"GXO Logistics, Inc",https://gxo.com/,"Class 1 Driver",https://jobs.gxo.com/job/Faversham-Class-1-Driver/1201863100/
"GXO Logistics, Inc",https://gxo.com/,"Class 1 Driver",https://jobs.gxo.com/job/Faversham-Class-1-Driver/1201862300/
"GXO Logistics, Inc",https://gxo.com/,"Seasonal Lead - 2nd Shift",https://jobs.gxo.com/job/Redlands-Seasonal-Lead-2nd-Shift-CA-92374/1201831000/
"GXO Logistics, Inc",https://gxo.com/,"Lead - 1st Shift",https://jobs.gxo.com/job/The-Dalles-Lead-1st-Shift-OR-97058/1201828200/
"GXO Logistics, Inc",https://gxo.com/,"Warehouse Supervisor - 3rd Shift",https://jobs.gxo.com/job/Carlisle-Warehouse-Supervisor-3rd-Shift-PA-17013/1201956900/
"GXO Logistics, Inc",https://gxo.com/,"Warehouse Supervisor - 1st Shift",https://jobs.gxo.com/job/Suffolk-Warehouse-Supervisor-1st-Shift-VA-23434/1201955400/
"GXO Logistics, Inc",https://gxo.com/,"Finance Manager",https://jobs.gxo.com/job/Northampton-Finance-Manager/1201890300/
"GXO Logistics, Inc",https://gxo.com/,"Shunter Driver",https://jobs.gxo.com/job/Faversham-Shunter-Driver/1201864200/
"GXO Logistics, Inc",https://gxo.com/,"Lead - 1st Shift",https://jobs.gxo.com/job/The-Dalles-Lead-1st-Shift-OR-97058/1201828000/
"GXO Logistics, Inc",https://gxo.com/,"Lead - 1st Shift",https://jobs.gxo.com/job/Pryor-Lead-1st-Shift-OK-74361/1201948000/
"GXO Logistics, Inc",https://gxo.com/,"Inventory Specialist - 1st, 2nd and 3rd Shifts",https://jobs.gxo.com/job/Palmyra-Inventory-Specialist-1st%2C-2nd-and-3rd-Shifts-PA-17078/1202018700/
"GXO Logistics, Inc",https://gxo.com/,"Procurement Analyst (Remote)",https://jobs.gxo.com/job/Charlotte-Procurement-Analyst-%28Remote%29-NC-28105/1157028700/
"GXO Logistics, Inc",https://gxo.com/,"Seasonal Lead - 3rd Shift",https://jobs.gxo.com/job/Redlands-Seasonal-Lead-3rd-Shift-CA-92374/1201344200/
"GXO Logistics, Inc",https://gxo.com/,"Lead - 1st Shift",https://jobs.gxo.com/job/Manassas-Lead-1st-Shift-VA-20109/1201344700/
"GXO Logistics, Inc",https://gxo.com/,"Transport Planner",https://jobs.gxo.com/job/South-Normanton-Transport-Planner/1201346200/
